"results__name","results__domain","results__fullDomain","results__logo","results__links__pricing","results__links__privacyPolicy","results__links__tos","results__links__security","results__links__gdpr","pagination__pageCount","pagination__rangeStart","pagination__rangeEnd","pagination__page","pagination__totalItems","pagination__itemsPerPage","total"
"Google","google.com","https://google.com","https://logo.clearbit.com/google.com?size=36","","https://www.google.com/intl/en_bd/policies/privacy/?fg=1","https://www.google.com/intl/en_bd/policies/terms/regional.html","https://myaccount.google.com/security?pli=1","https://www.google.com/cloud/security/gdpr/","45","1","25","1","1124","25","1124"
"Intuit","intuit.com","https://intuit.com","https://logo.clearbit.com/intuit.com?size=36","https://quickbooks.intuit.com/ae/pricing/","https://security.intuit.com/index.php/privacy","https://accounts.intuit.com/terms-of-service","https://security.intuit.com/","https://quickbooks.intuit.com/uk/gdpr/","","","","","","",""
"Microsoft","microsoft.com","https://microsoft.com","https://logo.clearbit.com/microsoft.com?size=36","https://azure.microsoft.com/en-us/pricing/#product-picker","https://privacy.microsoft.com/en-us","https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx","https://www.microsoft.com/en-us/security/default.aspx","https://blogs.office.com/en-us/2018/02/22/microsoft-365-provides-an-information-protection-strategy-to-help-with-the-gdpr/","","","","","","",""
"Amazon Web Services","aws.amazon.com","https://aws.amazon.com","https://logo.clearbit.com/aws.amazon.com?size=36","https://aws.amazon.com/pricing/?nc2=h_ql_pr&awsm=ql-3","https://aws.amazon.com/privacy/?nc1=f_pr","https://aws.amazon.com/terms/?nc1=f_pr","https://aws.amazon.com/security/?nc1=f_cc","https://aws.amazon.com/compliance/gdpr-center/","","","","","","",""
"LinkedIn","linkedin.com","https://linkedin.com","https://logo.clearbit.com/linkedin.com?size=36","https://www.linkedin.com/help/linkedin/answer/71/linkedin-free-accounts-and-premium-subscriptions?lang=en","https://www.linkedin.com/legal/privacy-policy","https://www.linkedin.com/legal/user-agreement","https://security.linkedin.com/","https://www.linkedin.com/pulse/linkedin-gdpr-what-you-need-know-greg-cooper","","","","","","",""
"Adobe","adobe.com","https://adobe.com","https://logo.clearbit.com/adobe.com?size=36","https://www.adobe.com/products/catalog.html?types=pf_252Fdesktop&types=pf_252Fmobile&types=pf_252Fweb&promoid=ZFN4FMKB&mv=other","https://www.adobe.com/privacy.html","https://www.adobe.com/legal/terms.html","https://helpx.adobe.com/security.html","https://www.adobe.com/privacy/general-data-protection-regulation.html","","","","","","",""
"Github","github.com","https://github.com","https://logo.clearbit.com/github.com?size=36","https://github.com/pricing","https://help.github.com/articles/github-privacy-statement/","https://help.github.com/articles/github-terms-of-service/","https://help.github.com/articles/github-security/","https://github.com/SharePoint/sp-dev-gdpr-activity-hub","","","","","","",""
"Dropbox","dropbox.com","https://dropbox.com","https://logo.clearbit.com/dropbox.com?size=36","https://www.dropbox.com/individual/plans-comparison","https://www.dropbox.com/privacy","https://www.dropbox.com/privacy#terms","https://www.dropbox.com/security","https://www.dropbox.com/security/GDPR","","","","","","",""
"Slack","slack.com","https://slack.com","https://logo.clearbit.com/slack.com?size=36","https://slack.com/pricing","https://slack.com/privacy-policy","https://slack.com/terms-of-service","https://slack.com/security","https://slack.com/gdpr","","","","","","",""
"Godaddy","godaddy.com","https://godaddy.com","https://logo.clearbit.com/godaddy.com?size=36","https://sg.auctions.godaddy.com/trppricing.aspx","https://sg.godaddy.com/agreements/showdoc.aspx?pageid=PRIVACY","https://sg.godaddy.com/agreements/showdoc.aspx?pageid=UTOS&app_hdr=0","","https://sg.godaddy.com/community/SSL-And-Security/GDPR-compliance/td-p/73531","","","","","","",""
"Atlassian","atlassian.com","https://atlassian.com","https://logo.clearbit.com/atlassian.com?size=36","https://www.atlassian.com/licensing/cloud/future-pricing","https://www.atlassian.com/legal/privacy-policy","https://www.atlassian.com/legal/customer-agreement","https://www.atlassian.com/trust/security","https://www.atlassian.com/blog/announcements/atlassian-and-gdpr-our-commitment-to-data-privacy","","","","","","",""
"Salesforce","salesforce.com","https://salesforce.com","https://logo.clearbit.com/salesforce.com?size=36","https://www.salesforce.com/in/editions-pricing/sales-cloud/?d=70130000000Ysao","https://www.salesforce.com/in/company/privacy/","https://www.salesforce.com/company/legal/sfdc-website-terms-of-service.jsp","https://trust.salesforce.com/en/security/","https://trust.salesforce.com/en/security/general-data-protection-regulation/","","","","","","",""
"Zapier","zapier.com","https://zapier.com","https://logo.clearbit.com/zapier.com?size=36","https://zapier.com/pricing/","https://zapier.com/privacy/","https://zapier.com/terms/","https://zapier.com/blog/two-factor-authentication-2fa-guide/","","","","","","","",""
"InVision","invisionapp.com","https://invisionapp.com","https://logo.clearbit.com/invisionapp.com?size=36","https://www.invisionapp.com/plans","https://www.invisionapp.com/privacy","https://www.invisionapp.com/terms","https://www.invisionapp.com/security","https://support.invisionapp.com/hc/en-us/articles/115003634123-Does-InVision-comply-with-the-General-Data-Protection-Regulation-for-EU-customers-","","","","","","",""
"Gogoair","gogoair.com","https://gogoair.com","https://logo.clearbit.com/gogoair.com?size=36","https://www.gogoair.com/for-passengers/","https://content.gogoair.com/privacy/?lang=en_US","https://content.gogoair.com/terms/?lang=en_US","https://tech.gogoair.com/tagged/security","","","","","","","",""
"LogMeIn","logmein.com","https://logmein.com","https://logo.clearbit.com/logmein.com?size=36","https://www.logmeinrescue.com/pricing","https://www.logmeininc.com/legal/overview","https://www.logmeininc.com/legal/terms-and-conditions","https://www.logmein.com/pro/security-information","https://www.logmeininc.com/logmein-and-gdpr","","","","","","",""
